videoId,cleaned_comment,polarity
RPpcv5xr7TA,follow me on instagram if you want to see more regular updates  a href,neu
RPpcv5xr7TA,omg did you go to yabu tonkatsu ,neu
RPpcv5xr7TA,be careful if you’re a young girl visiting the philippines don’t stay in a poor and dangerous area that’s how my mom got raped this happened in cebu she couldn’t get an abortion because that’s illegal in the philippines that’s how my half sister was made,neg
RPpcv5xr7TA,its the airport thats the most dangerous items put in your luggage and people who have arrived  hours early for their flight have missed it,neg
RPpcv5xr7TA,i lived in manila with my sister and a best friend for almost  years  the year was  until  and i was  years old and they were only  years old we rented a town house in makati area after living in different questionable parts of the city for the lack of knowledge  we were free as birds and had a marvellous time which is forever in my memory bank there were  incidents of burglary and pickpocket that’s all people were wonderful kind and lovely to us the city was always full of tourists and we had friends from all over the world the best years of my life were spent in manila thank you philippines ,pos
RPpcv5xr7TA,looks like south american countries,neu
RPpcv5xr7TA,now you need to do a proper visit to manila in particular you have only scratched a very thin surface of what the city has to offeryou will be blown away by bgc and makati do some youtube research from foreign vloggers who have residences in the area ie mergim making it happen juicy vlogsetcetera,neu
RPpcv5xr7TA,i think you got it wrong matewe filipinos are very friendly specially to foriegners,neg
RPpcv5xr7TA,wait you had a layover how come you were able to exit airport and travel,neu
RPpcv5xr7TA, i will forever be indebted to you you have changed my entire life and i will continue to preach on your name for the  to hear that you save me from huge financial debt with little investment thank you very much expert  sophia,pos
RPpcv5xr7TA,thanks for the vlog and wonderful i wonder what’s the name of the hotel that you stayed in any way to get the contact of the driver or does he have a fb page ,pos
RPpcv5xr7TA, know our manila is the most dangerous in southeast asia,neu
RPpcv5xr7TA,i decided that i am going to stick around in manila i will film the cool cars the philippines has,pos
RPpcv5xr7TA,wow that is great you’ve been in our place,pos
RPpcv5xr7TA,manila is not the most dangerous city in asia,neu
RPpcv5xr7TA,as a filipino who lives in manila i never thought that manila is named as dangerous city in south east asia ,neu
RPpcv5xr7TA,probably it reminds you of latin america due to spanish architectures but  just be honest here if you have a local friend with you youre totally safe no one dare to scam you ,neu
RPpcv5xr7TA,you  despise manila you  despise the philippines you  despise philippine airlines you  even heard about the masterpiece  is introduction,neg
RPpcv5xr7TA,hold on people think manila is dangerous that offends me  a filipino people should do more research on manila or visit the city yourself,neg
RPpcv5xr7TA,peoples saying this country is the most dangerous in asia that cause destroyed the philippines philippines have hidden natures and wealth,neg
RPpcv5xr7TA, brazilianbut the philippines people is the best people in the worldi love this surreal country,pos
RPpcv5xr7TA,kaja this is an old video  so very different now  go to places like makatibgcbonifacio global city  new york city as they sayortigasquezon city and a lot morenext year we are going to inaugurate quotthe metro manila subwayquot,neu
RPpcv5xr7TA,korea and japan media loves to feature the bad image of the philippinesthe crimes and devastations  but they filter everything snout their country that is why people think it is safe,neg
RPpcv5xr7TA,love philippines bare in mind though that you only were in the tourist spots of manila lol i personally prefer to visit more discrete places in manila or outside where the real pinoy life is to me,pos
RPpcv5xr7TA,riding a grab car is safe in manila who told u its not safe to ride the public transport,neu
RPpcv5xr7TA,in all honesty manila is way more safer than bangkok and i have to say its the most friendliest city capital in asiaso vamos mi amigos and let us visit the philippines,pos
RPpcv5xr7TA,any one who likes manila is coming from a low base,neg
RPpcv5xr7TA,it is not the biggest mall go visit some in china  and the bay s pretty seveely rotten,neu
RPpcv5xr7TA,you really do not want a driver to take you around  makiti is slimy with lots or prostitution with warnings inside the hotels about the scams in makati it is colorful but crappy  you should go to the zoo then you will see how bad the joint is intramunos is a non event and is not beautiful at all and the kids wanted cash or if not glue to sniff and yes you see heaps of toursists in manila  most of manila is actually pretty safe to walk around,neu
RPpcv5xr7TA,there is actually no  traditional philippine dish m yes yes yes the locals will disagree with me,neu
RPpcv5xr7TA,manila as the most dagnerous city in south east asia where was that statistic came from just to earn views,neg
RPpcv5xr7TA,try going to quotloobanquot and quotbangketaquot,neu
RPpcv5xr7TA,im from manila ,neu
RPpcv5xr7TA,manila  dangerous  just like any other city there are sketchy areas  not the whole city,neu
RPpcv5xr7TA,some of the places here in the philippines are kinda looking spanish style because spanish occupied philippines in  and thats the cause the spain looking and the war lasted in   and thats why the philippines are looking weard because the content are spanishbangkok and old looking stylei suggest that you visit the tallest church in asia you can find it in taal batangas the church are old and beautiful and and kinda tourist attraction and its also safe to walk around because  no alot of  people and also visit tagaytay in batangas  also tourist attraction thats all,neu
RPpcv5xr7TA,ooh the spanish took over so yea,neu
RPpcv5xr7TA,lol ur country was the most dangerous cause thers so much racist there,neg
RPpcv5xr7TA,there alot of thing that u dont know about the philippinese that well shock u if u find out like theplace,neu
RPpcv5xr7TA,title was cappin as shit  if ur fishing for views amp attention just say it,neg
RPpcv5xr7TA,where did you go to find a driver i want to hire one for my trip,neu
RPpcv5xr7TA,i have been in the philippines and went to manila i never felt unsafe when i was there  from bulacan by the way,pos
RPpcv5xr7TA,come back and visit again when the pandemic is over thanks for seeing some places in mnl such kind words to describe your experience salamat,neu
RPpcv5xr7TA,you know why the driver talk to  you  bcoz   they  service you nicely     they dont want you to get bored,pos
RPpcv5xr7TA,anywhere in the world is not safe     even the other  country has  tsunami and many more  so dont blame the country,neu
RPpcv5xr7TA,worst vlog her statements about philippines isn’t good philippines is a very nice country she’s over reacting the negative stuff  if i could just press dislike  times i’ll do it,neg
RPpcv5xr7TA, change the title since its degrading to the good people of the philippines and total bullshit  if anybody needs to be kidnappedits you two idiots,neg
RPpcv5xr7TA,wtf manila is the most dangerous city who the heck decide that,neg
RPpcv5xr7TA, bad when you hear something like it from people who  been in ph but  worst when you hear it from the locals like your filipino friend and that driver,neg
RPpcv5xr7TA,what makes me angry is putting titles like this after you visited the place and have seen how safe it is manila is definitely not dangerous city if you go by those stupid surveys i  know what to say,neg
RPpcv5xr7TA, filipino from mandaluyong philiphines and manila is safe but you still have to be careful from kidnappings violence holdapers manila  is just closed to my city instead visiting manila just visit makati taguig bgc mandaluyong the safest place to live on  visit tondo manila,neu
RPpcv5xr7TA,would have been more informative if you gave more info such as some prices like for the driver and how you get them you talked about you a lot instead of the city like what were some of the interesting things the driver told youyou shared that you enjoyed that but  share any of it with us i hate all these vloggers that make the video about them and try to make themselves famous  not watch these to oogle over the vloggers disappointed,neg
RPpcv5xr7TA,you’re a fuckhead person if you think philippines is dangerous country to travel before you judge this country you better make sure your country is perfect coz no country is perfect everyone has its own shits just like your own fucking country duh,neg
RPpcv5xr7TA,you shut up arrogant,neg
RPpcv5xr7TA,your caption is wrongwtf,neg
RPpcv5xr7TA,when i heard from you the way you describe philippines from where you from that phillippines is a very dangerous place that even walking outside of your hotel you maybe get kidnapped oh girl then i think i have the right to say that most of you people from where you from were quotjudgementalquot,neg
RPpcv5xr7TA, been living in manila for  years now and the place are safe there are some stories of unsafe places in metro manila which are untrue even the place i lived in some say your place is not safe all of it are false those people has never been to my place in the first placethat was old stories and misconception  years ago,neu
RPpcv5xr7TA,you’re more likely to get shot in the us than in the philippines,neg
RPpcv5xr7TA,you said most dangerous  in mla why come here  go back where you belong ,neg
RPpcv5xr7TA,your tittle is misleading philippines is beautiful and people can communicate in english definitely it’s not perfect but safe enough to go around beach volcanoes interesting cities are everywhere,neg
RPpcv5xr7TA,when a country is lacking good public utilities and infrastructure it will be deemed as unsafe and dangerous its easy to see why all the citizens is using private car or buses it create a gloomy impression about the city sociology take singapore and kuala lumpur as an example both country have good infrastructure and tourist are free to explore affordable convenience secure and safe,neg
RPpcv5xr7TA, give this video a little credit  at least they stuck to the safe places for tourists unlike some other travel vloggers who try to tell you that you can go anywhere with the same safety you would use in your home country   not true  there are many places such as tondo that those girls should never ever visit  manila has some safe places but it has many dangerous places where extreme poverty breeds extreme crime  if you visit stay in makati bgc moa and ortigas areas and  be ok  try to go to other parts of the city and you increase your risk of mugging pickpockets and even murder  in a nutshell the philippines expects foreigners to stay in tourist places and nice hotels and spend money at the malls  though it  guaranteed  be attacked outside of those places it also  guaranteed you  be  research first and  go to any locales without a few filipinos with you to guide you and deter bad things,neu
RPpcv5xr7TA, kind of confusing to many because manila or metro manila is a big city capital it comprise of  cities amp municipalities that includes the city of manila makati quezon city pasay etctourists are advise not to venture the city of manila  because of its negative reviews from travel agencies or survey agencies there are parts of manila that are safe amp not so safe it kind of frustrating sometimes because tourists tends to downgrade the capital as dangerous when in fact  not,neu
RPpcv5xr7TA, believe to those paranoid they  know what  saying that manila is dangerous manila is a region composed of  major big cities like makati bgc quezon city marikina mandaluyong pasig entertainment city etc,neu
RPpcv5xr7TA,what a kind of ignorant,neg
RPpcv5xr7TA,wtf is this title have you been to aceh in indonesia or in mindanao manila is shit but definitely not the most dangerous in sea,neg
RPpcv5xr7TA, mess up with our country do your research first before making sweeping conclusions,neg
RPpcv5xr7TA,where the hell did you get the information that manila is the most dangerous city in sea ,neg
RPpcv5xr7TA, a military brat and my dad was stationed in manila from  thanks for this little vlog it brought back so many memories ,pos
RPpcv5xr7TA, just been on holiday in the philipines and i had to stop in minila before travelling furthur and it was alot ruffer than in this video places in the city like pasay i did not feel very safe there i  know if i was just in a bad part of the area however it was friendly everywhere else i went on my holiday on islands in the more rural areas,neu
RPpcv5xr7TA,you give terrible advice that kind of thinking is what got those scandinavian women killed in morocco,neg
RPpcv5xr7TA, go to the philippines its not safeespecially all of mindanao and even davao isis has gotten much stronger lately there has been a kidnapping and  foreigners were taken hostage just  days ago on dec  there was also  bombing one of them was a foreigner moroccan fighter from morocco and another was in a city called general santos witch was considered safe davao also had a recent shoot out with the npa a few weeks ago there was also a video from the fight that killed  soldiers that showed an arab man from isis so this proves that isis is sending more money and support to the abu sayyafmautebiff and akp all groups that are part of isis philippines the philippines government actively lies and down plays the threats to look good but after going to the philippines and doing lots and lots of research i found that the philippines is just not safe  especially mindanao even if some people say its safe  mean that it is because the risks have increased dramatically over the last few months its not worth your life please  go to the philippines  especially mindanao here is some of my sources a href  a href i think everyone should read theses,neg
RPpcv5xr7TA, not dangerous here wrong impression,neg
RPpcv5xr7TA, a very honest opinion of the city  i am a  retired filipino who is dual australianfilipino citizens  years in australia and  years in the philippines  i realized that whenever i look at tourist destinations philippines is being bypassed by many tour company which is understandable especially as you say people kept saying that  unsafe though they never been in manila  being retired i spend  months out of  in the philippines and  months in australia and anywhere else  it  really bother me if the rest of the world  want to visit us especially manila since the city is too crowded anyway  but i am very proud of the country and what it can offer to many people  it has over  provinces and over  beautiful islands which i dream of visiting all before i die  i had been to most countries in the world america asia australia and europe but my heart is still in the philippines my native land  thank god for giving us such a wonderful and exceedingly lovely place  for those of wants to come you are welcome for those but are hesitant to visit just listen to the author of this video and find out what  missing natural beauty of the country and the famous hospitality of the people who speaks english in an easy going manner are our assets  mabuhay   so far in the past  years since retirement i had visited more than half of the country with the hope that in very near future will be able to cover the whole archipelago   again to the author thank you very much  by the way  in spite of my age i am very young at heart and you can see me through my facebook  steve aji esteban,pos
RPpcv5xr7TA, not safe anymore because under the new government of duterte killings is widespread drugs smuggling is so rampant before duterte came to power its pretty safe always put your bags ladies in front of you even eating in a restaurants people will go behind you and try to get your purse,neg
RPpcv5xr7TA,you should be ashamed so you want to say manilla is safe and good to travel this kind of wrong information could attract other people to visit there to die manilla including this country is dangerous,neg
RPpcv5xr7TA, a filipino myself but  welcome to visit our country manila to be specific  also my city btw  not dangerous or what  lived here all my life and i bet my life  not exactly what others thought it is,neu
RPpcv5xr7TA,what a shame,neg
RPpcv5xr7TA,what the hellonly demonic international mainstream media sayin bad interpretation against our great country the quotgreat philippinesquot,neg
RPpcv5xr7TA,what the hey most dangerous city in  asia please stop believing what the anti government bragged about the philtnx,neg
RPpcv5xr7TA,you disgrace us if you call philippines is a dangerous place,neg
RPpcv5xr7TA,wtf dangerous  a nonsense shit bitch,neg
RPpcv5xr7TA,what  the most dangerous  you are manipulated by media easilyexcuse me miss,neg
RPpcv5xr7TA,when i read the title i immediately answered in my head “definitely not”,neg
RPpcv5xr7TA,youre friends must have bin total idiots if they told you to avoid manila,neg
RPpcv5xr7TA, a filipino and i am a thief i will steal your heart,pos
RPpcv5xr7TA, a filipino and  talk to strangers cause they will quotbudol budolquot you like hypnotize,neu
RPpcv5xr7TA,worst city talaga dhai srsly lmao,neg
RPpcv5xr7TA, of white taxi drivers are    just a start,neu
RPpcv5xr7TA,who says manila is the most dangerous city in south east asia,neg
RPpcv5xr7TA,your chance of being murdered are twice as great in the phillipines than what it is in usa a href,neg
RPpcv5xr7TA,wow huh exploring the most dangerous city in southeast asia are you sure i think you’re in the wrong place caption please ,neg
RPpcv5xr7TA,what a stupid title oh yeah manila is as dangerous as syria or afghanistan ur choice of word for manila is dumb,neg
RPpcv5xr7TA, been there and i can say it was so great  friendly people easy access to every places in there traffic is not that worst but it is fine but all in all it is recommended to visit,pos
RPpcv5xr7TA,you  just say that manila is this or that even the safest place in the world have negatives on them i think that whatever country you go to you should be aware of your surroundings no matter what,neg
RPpcv5xr7TA,wtf manila  that bad,neg
RPpcv5xr7TA, million haha  off almost  million darling,neu
RPpcv5xr7TA,what the hell is your caption ms do you have manners,neg
RPpcv5xr7TA,what a crock of shit ,neg
RPpcv5xr7TA, care what people say   manila is not a tourist destination   chaotic polluted dirty the worst traffic  the only nice place in that area is bgc  better not rain while  there because the slightest  shower and that area gets flooded up to the knees  your trip there was only bearable because  in a taxi   even think about taking public transportation   nothing much to do and see there except go to a  mall whoop di doo,neg
RPpcv5xr7TA, been there for along time and nothing bad is happening to me well some people gets kidnap ,neu
RPpcv5xr7TA, no place as safe as our home  even in europe america australia  a crime,neu
RPpcv5xr7TA,what do you mean the most dangerous city woman wow fuck you so bad,neg
